crypto_name,date,price,market_cap,volume,ingestion_timestamp
ethereum,2026-02-20 21:02:56.695,1968.511581683248,237618197180.855,21349106660.90255,2026-03-03 01:20:38.901487
ethereum,2026-02-20 22:00:40.925,1973.4141609407097,238201955511.57263,21316232475.871532,2026-03-03 01:20:38.901488
ethereum,2026-02-20 23:02:55.259,1970.3991452934747,237808357749.9401,21294573167.23422,2026-03-03 01:20:38.901490
ethereum,2026-02-21 00:01:32.135,1968.176253440744,237571647704.20493,21360368266.77606,2026-03-03 01:20:38.901491
ethereum,2026-02-21 01:01:23.058,1962.3276711835413,236776602116.7539,21039699226.03788,2026-03-03 01:20:38.901492
ethereum,2026-02-21 02:02:34.454,1965.6799156902252,237208249880.22845,20938622097.773243,2026-03-03 01:20:38.901493
ethereum,2026-02-21 03:00:22.233,1965.9629414188755,237288817109.03494,24231528606.62279,2026-03-03 01:20:38.901494
ethereum,2026-02-21 04:02:47.961,1958.3245272369775,236214901126.20502,20678147839.02756,2026-03-03 01:20:38.901494
ethereum,2026-02-21 05:02:07.316,1961.6926853078173,236494898347.7301,19662215687.275692,2026-03-03 01:20:38.901495
ethereum,2026-02-21 06:02:03.289,1962.202883426678,236822921346.9177,20379555384.220448,2026-03-03 01:20:38.901496
ethereum,2026-02-21 07:02:26.811,1960.9298177913845,236649794451.38025,19342658188.079693,2026-03-03 01:20:38.901497
ethereum,2026-02-21 08:02:32.060,1962.1646174810203,236746751111.9762,19329874042.517452,2026-03-03 01:20:38.901498
ethereum,2026-02-21 09:02:17.263,1968.5916929959137,237396502534.7025,19419335518.73448,2026-03-03 01:20:38.901499
ethereum,2026-02-21 10:02:04.417,1969.9244975895988,237766249440.1167,18493418104.342285,2026-03-03 01:20:38.901499
ethereum,2026-02-21 11:02:11.074,1973.3542107914457,238138740607.04874,18021649072.08777,2026-03-03 01:20:38.901500
ethereum,2026-02-21 12:02:16.145,1976.700927539717,238559388574.17526,18040203285.50464,2026-03-03 01:20:38.901501
ethereum,2026-02-21 13:00:50.230,1975.1111120928424,238364591142.60678,21195867837.421757,2026-03-03 01:20:38.901502
ethereum,2026-02-21 14:02:09.976,1980.1798358010524,238843246877.29056,17674381524.001846,2026-03-03 01:20:38.901504
